Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60, 
OTU1,0,0,0.000745823,0.005175038,0.003272592,0.000258048,0.002816901,0.004273504,0.009234404,0.002243775,0.00204878,0.006939961,0.006229257,0.006593407,0.009630819,0.001787433,0.000678571,0,0.00138058,0,0,0.005125577,0.000839997,0.017167382,0,0.002372223,0.002838306,0.00193299,0.001789549,0.00366371,0,0,0.001035197,0,0.001232562,0.002136144,0,0.001872978,0,0.000468302,0,0.005363528,0.002244913,0.001540556,0.046951418,0.001343544,0.015122873,0.023529412,0.047055731,0.116240725,0.004057428,0.004178855,0,0.0048,0.001408914,0.01421508,0.004783259,0.004457263,0.011100833,0.003722854,
OTU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU4,0.008830549,0.064325987,0.02297136,0.117199391,0.128226106,0.002580479,0.104493628,0.082393162,0.061634275,0.005356109,0.006731707,0.118221433,0.000765892,0.117307692,0.059122525,0.084215592,0.060607143,0.025746653,0.390704096,0.080521216,0.126623377,0.059969247,0.065116592,0.079234071,0.010624514,0.048738408,0.051290647,0.020618557,0.011095204,0.057655226,0.00118759,0.001598623,0.010869565,0.011321296,0.016583562,0.119766448,0.001496824,0.066916397,0.006393559,0.049815606,0.007194245,0.0488677,0.023607792,0.028195758,0.042549723,0.019884455,0.212192817,0.110859729,0.184805468,0.016488046,0.123907615,0.072712077,0.003443526,0.12416,0.018785516,0.213720643,0.083408072,0.036182486,0.085568918,0.028955533,
OTU5,0.002625298,0.005638134,0,0.004261796,0.005503905,0.005354493,0.006706908,0.005128205,0,0.000723798,0.005560976,0.002663008,0.003420985,0.006018981,0.003210273,0.00481232,0.005357143,0,0.006902899,0.001002339,0,0,0.002183993,0,0,0.006577529,0.002815957,0.002255155,0.00071582,0.005206325,0.002028799,0,0,0.0075953,0.004257942,0.011036742,0.002427283,0,0,0.000995141,0.001251173,0.000595948,0,0.002077959,0.003749592,0.00241838,0.002835539,0.007239819,0,0.002473207,0.006242197,0.007521939,0,0.004,0.000798384,0.002348578,0,0.006554798,0.008325624,0,
OTU6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU8,0.032458234,0.009994874,0.000894988,0.010045662,0.00996653,0.030772208,0.005633803,0.001367521,0,0,0,0.000726275,0,0.001248751,0.002675227,0.018768046,0.043,0,0.00276116,0.002004678,0,0,0.0000672,0,0.013734128,0.002372223,0.000871606,0.009342784,0,0,0.001682419,0,0,0.003582688,0,0.001922529,0.000566366,0,0,0,0,0,0,0,0.001467232,0.001343544,0,0.003846154,0,0.001648805,0,0.006686168,0.003443526,0.00176,0.004320669,0.000494438,0.011061286,0.01914001,0.008325624,0,
OTU9,0.057040573,0.031009739,0.003729117,0.00761035,0.024767572,0.088316883,0.011133467,0.001880342,0.009449157,0.000361899,0.005365854,0.004680439,0.004033699,0.019055944,0.020064205,0.024336587,0.072857143,0,0.003681546,0.015035082,0.008116883,0.021527422,0.000268799,0.016176956,0.082145634,0.016821221,0.016672254,0.103092784,0.001073729,0.004820671,0.001385521,0,0.016563147,0.014617369,0.006386912,0.024352036,0.009425948,0.039843351,0.004262373,0.025405374,0.032217704,0.009684148,0.025563039,0.041953282,0.001467232,0.008464329,0.027882798,0.011764706,0.01340694,0.008656224,0.034644195,0.048056832,0,0.00816,0.001268022,0,0.0122571,0.02857892,0.011563367,0.001034126,
OTU10,0.025536993,0.03280369,0.002684964,0.003652968,0.000966902,0.053351397,0.024010731,0,0.032857296,0.005428489,0.026341463,0.013315042,0.008067399,0.029545455,0.042268593,0.038086072,0.029178571,0,0,0,0,0.003587904,0.000671998,0.005612413,0.008810573,0.077528575,0.006816404,0.034149485,0,0.002313922,0.000296897,0,0,0.004012611,0.000560255,0.005767588,0.005744569,0.004086498,0.002604783,0.014517356,0.003597122,0.003426698,0.002679412,0.004621668,0.001793283,0.00120919,0.021266541,0.013574661,0.008412198,0.005770816,0.005617978,0.040117008,0,0.00256,0.003334429,0,0.009865471,0.010487677,0.006012951,0,
